yellow	colour, color, |0.0|.1|2
shade	shadow, obscure, draw, paint, screen, |0.0|.1|5
forward	transport, send, ship, |0.0|.1|3
direct	order, tell, say, target, aim, place, point, aim, take, train, make, create, manage, deal, care, handle, lead, take, conduct, guide, send, move, displace, aim, take, train, position, conduct, lead, perform, execute, do, instruct, calculate, aim, intend, destine, designate, specify, steer, manoeuvre, point, head, guide, channelise, control, command, address, label, engineer, organize, organise, plan, |0.0|.1|53
outrank	rank, excel, surpass, |0.0|.1|3
hoover	vacuum, clean, |0.0|.1|2
blur	change, alter, modify, confuse, obscure, change, alter, modify, smudge, rub, change, alter, modify, dim, weaken, |0.0|.1|15
confine	limit, decrease^, lessen, restrict, restrain, limit, bound, control, hold, contain, check, curb, moderate, restrain, suppress, keep, hold, bear, carry, contain, detain, restrain, hold, disable, incapacitate, |0.0|.1|25
brush	rub, touch, clean, sweep, move, remove, take, withdraw, cover, |0.0|.1|9
intensify	escalate, increase, compound, heighten, deepen, increase, deepen, increase, change, alter, modify, |0.0|.1|11
restrain	suppress, keep, prevent, keep, restrict, limit, bound, confine, control, hold, contain, check, curb, moderate, confine, hold, disable, incapacitate, constrain, restrict, limit, bound, confine, intimidate, discourage, |0.0|.1|25
query	question, ask, |0.0|.1|2
breach	transgress, offend, violate, break, gap, open, |0.0|.1|6
scoff	flout, barrack, gibe, rag, bait, taunt, rally, ride, flout, dismiss, disregard, discount, ignore, |0.0|.1|13
capsule	envelop, wrap, digest, concentrate, |0.0|.1|4
diverge	move, be, vary, depart, differ, |0.0|.1|5
knight	dub, gentle, entitle, |0.0|.1|3
mobilize	mobilise, marshal, summon, gather, garner, collect, mobilise, rally, call, mobilise, mobilise, circulate, move, displace, |0.0|.1|14
quake	tremble, tremor, shake, agitate, |0.0|.1|4
access	recover, retrieve, find, regain, reach, make, attain, hit, gain, |0.0|.1|9
decontaminate	clean, |0.0|.1|1
assist	help, aid, support, work, serve, attend, help, aid, |0.0|.1|8
intimate	insinuate, hint, suggest, suggest, imply, |0.0|.1|5
strangle	kill, stifle, muffle, suppress, subdue, conquer, curb, suffocate, stifle, hamper, restrict, restrain, limit, bound, confine, choke^, squeeze, compact, contract, press, choke^, suffocate, suffer, hurt^, |0.0|.1|24
sin	transgress, transgress, offend, violate, breach, break, blunder, boob, transgress, offend, violate, breach, break, |0.0|.1|13
broker	negotiate, |0.0|.1|1
dissuade	deter, advise, counsel, |0.0|.1|3
bode	prognosticate, betoken, foretell, forecast, predict, bespeak, betoken, indicate, point, signal, |0.0|.1|10
smart	hurt^, |0.0|.1|1
surcharge	charge, bill, soak, pluck, rob, hook, cheat^, overcrowd, fill, overload, load, lade, laden, show, |0.0|.1|14
name	call, label, identify, refer, nominate, make, appoint, charge, appoint, nominate, constitute, establish, found, plant, constitute, institute, specify, set, determine, fix, limit, identify, discover, key, describe, mention, cite, refer, mean, list, enumerate, itemize, diagnose, analyze, analyse, study, examine, canvas, |0.0|.1|38
redo	refashion, produce, make, create, change, alter, modify, |0.0|.1|7
beef	gripe, grouse, crab, complain, kick, plain, |0.0|.1|6
spy	spot, monitor, supervise, investigate, inquire, |0.0|.1|5
prize	value, treasure, appreciate*, see, consider, reckon, view, regard, prise, lever, jimmy, open, respect, esteem, value, prise, see, consider, reckon, view, regard, |0.0|.1|21
thatch	roof, |0.0|.1|1
harvest	reap, gather, garner, collect, remove, take, withdraw, |0.0|.1|7
afflict	upset, smite, damage^, trouble, ail, pain, hurt^, |0.0|.1|7
unwind	move, displace, undo, relax, unbend, turn, relax, affect, |0.0|.1|8
tunnel	dig, |0.0|.1|1
heave	utter, emit, throw, surge*, inflate, lift, move, pant, gasp, blow, buckle, |0.0|.1|11
gladden	rejoice*, |0.0|.1|1
lamb	deliver, bear, birth, have, |0.0|.1|4
dare	presume, act, move, act, move, defy, challenge, |0.0|.1|7
lame	cripple, maim, |0.0|.1|2
profile	write, pen, represent, interpret, |0.0|.1|4
bluff	move, go, frighten, fright, scare, |0.0|.1|5
fray	break, wear, bust^, rub, fret, scratch, touch, meet, contact, |0.0|.1|9
unmake	undo, |0.0|.1|1
purport	claim, aim, purpose, propose, intend, mean, think, |0.0|.1|7
meter	quantify, measure, stamp, |0.0|.1|3
bunch	flock, bundle, form, |0.0|.1|3
bridge	connect, link, tie, join, track, cover, cross, |0.0|.1|7
will	ordain, wish, decide, determine, leave, give, gift, present, |0.0|.1|8
squabble	quibble, bicker, argue^, contend, debate, fence, |0.0|.1|6
stunt	impede, perform, execute, do, |0.0|.1|4
disregard	ignore, cut, treat, handle, dismiss, discount, ignore, reject, neglect, ignore, disregard, |0.0|.1|11
gaze	stare, look, |0.0|.1|2
incense	scent, infuriate, exasperate, anger, |0.0|.1|4
activate	trip, trigger, spark, initiate, pioneer, change, alter, modify, change, alter, modify, change, alter, modify, change, alter, modify, |0.0|.1|17
aver	allege, say, assert, maintain, affirm, verify, assert, swan, swear, declare, |0.0|.1|10
mate	pair, couple, join, match, couple, pair, twin*, join, crush, shell, vanquish, |0.0|.1|11
frank	stamp, excuse, relieve, exempt, |0.0|.1|4
prod	push, force, jab, stab, poke, dig, |0.0|.1|6
hazard	guess, venture, pretend, speculate, venture, adventure, stake, risk, gamble, chance, risk, adventure, try, seek, attempt, essay, |0.0|.1|16
yarn	tell, |0.0|.1|1
tack	fix, secure, sail, assemble, piece, join, make, create, attach, interchange, switch, alternate, turn, reverse, |0.0|.1|14
retail	sell, sell, |0.0|.1|2
embarrass	upset, obstruct, blockade, block, prevent, forestall, foreclose^, preclude, forbid, |0.0|.1|9
disinvest	free, withdraw, draw, strip, remove, take, withdraw, |0.0|.1|7
hurdle	|0.0|.1|0
lag	follow, imprison, jail, confine, detain, toss, sky, pitch, cover, |0.0|.1|9
pot	implant, embed, plant, |0.0|.1|3
ripple	flow, flux, bubble, sound, go, |0.0|.1|5
cabin	confine, |0.0|.1|1
ballot	vote, |0.0|.1|1
bulldog	assail, assault, attack, overcome, subdue, master*, |0.0|.1|6
acquire	get, assume, adopt, take, change, grow, develop, produce, get, change, locate, win*, gain, get, learn, develop, evolve, change, |0.0|.1|18
slack	neglect, loosen, loose, relax, decrease^, lessen, slow, weaken, abate, decrease^, lessen, abate, decrease^, diminish, lessen, fall, |0.0|.1|16
shampoo	wash, |0.0|.1|1
provoke	arouse, elicit, kindle, evoke, fire, raise, make, create, evoke, cause, do, make, stimulate, challenge, harass, hassle, harry, chevy, beset^, plague, annoy, rag, bother, irritate, rile, gravel, vex, devil, |0.0|.1|28
tidy	order, |0.0|.1|1
misalign	align, coordinate, |0.0|.1|2
catapult	propel, hurtle, cast, |0.0|.1|3
glide	travel, go, move, fly, pilot, move, displace, |0.0|.1|7
transmit	convey, communicate, transfer, conduct, convey, carry, channel, bring, convey, take, air, send, broadcast, beam, publicize, air, bare, transfer, transport, channel, channelise, move, displace, |0.0|.1|23
mimic	imitate, copy, simulate, |0.0|.1|3
rebuke	rag, jaw, lambaste, knock, criticize, criticise^, |0.0|.1|6
gasp	pant, heave, blow, |0.0|.1|3
staff	provide, supply, ply, cater, serve, |0.0|.1|5
prolong	extend, lengthen, sustain*, continue, uphold, preserve*, |0.0|.1|6
brace	poise, fix, prepare, ready, set, steady, stabilize, stabilise, strengthen, hold, support, sustain*, stimulate, arouse, energize, affect, |0.0|.1|16
stripe	mark, |0.0|.1|1
bean	hit, |0.0|.1|1
crab	steer, manoeuvre, direct, point, head, guide, channelise, scuttle, fish, gripe, grouse, beef, complain, kick, plain, |0.0|.1|15
misguide	mislead, lead, take, direct, conduct, guide, advise, counsel, |0.0|.1|8
shell	blast, bomb, emerge, hit, gather, beat, crush, vanquish, overcome, defeat, remove, take, withdraw, remove, take, withdraw, |0.0|.1|16
conform	adjust, adapt*, change, |0.0|.1|3
badger	bug, beleaguer, torment, rag, frustrate, persuade, |0.0|.1|6
sorrow	grieve, suffer, |0.0|.1|2
grumble	complain, kick, plain, murmur, complain, kick, plain, growl, utter, emit, sound, go, |0.0|.1|12
scoop	remove, take, withdraw, outdo, trump, best, beat, crush, shell, vanquish, |0.0|.1|10
joke	communicate, act, behave, do, |0.0|.1|4
sex	arouse, excite, stimulate, shake, excite, stir, separate, tell, |0.0|.1|8
deflect	avert, avoid, prevent, forestall, foreclose^, preclude, forbid, bend, turn, turn, distract, confuse, flurry, block, fence, |0.0|.1|15
electrify	agitate, rouse, charge, excite, fill, wire, adapt*, accommodate, |0.0|.1|8
exhaust	beat, tire, wear, fatigue, consume, eat, deplete, spend, expend, drop, tire, consume, eat, deplete, empty, empty, |0.0|.1|16
season	flavor, flavour, harden, temper, weaken, |0.0|.1|5
bulk	swell, |0.0|.1|1
arise*	originate, rise, develop, uprise, grow, become, become, rise, uprise, happen, occur, pass, rise, lift, uprise, travel, go, move, rebel, rise, protest, resist, dissent, uprise, rise, |1.0|.1|25
bicker	quibble, squabble, argue^, contend, debate, fence, |0.0|.1|6
decamp	depart, quit, flee, fly, skip, leave, |0.0|.1|6
tumble	topple, descend, fall, topple, tip, push, force, move, crumble, collapse^, scramble, grok, savvy, dig, compass, drop, toss, worsen^, decline, exercise, |0.0|.1|20
injure	wound, hurt^, hurt^, wound, bruise, offend, spite, arouse, elicit, kindle, evoke, fire, raise, provoke, hurt^, damage^, |0.0|.1|16
set	put, place, pose, position, lay, move, displace, determine, specify, determine, fix, limit, choose, take, select, mark, establish, make, change, alter, modify, arrange, fix, prepare, ready, change, alter, modify, adjust, correct, place, stage, present, represent, descend, fall, arrange, write, plant, put, place, pose, position, lay, originate, initiate, start, solidify, impress, put, place, pose, position, lay, bury, sink, hone, assail, assault, attack, place, put, estimate, gauge, guess, judge, rig, equip, fit, outfit, fix, prepare, ready, adjust, correct, change, alter, modify, reproduce, multiply, dress, arrange, do, groom, |0.0|.1|84
fixate	bind, tie, attach, bond, attend, hang, fix, attach, freeze, |0.0|.1|9
excise	strike, scratch, cancel, tax, |0.0|.1|4
refit	equip, fit, outfit, |0.0|.1|3
interrupt	disrupt, break, stop, disturb, act, move, disrupt, break, end, terminate, |0.0|.1|10
mushroom	pick, pluck, grow, |0.0|.1|3
infiltrate	percolate, filter, join, percolate, filter, pass, |0.0|.1|6
convey	communicate, carry, express, communicate, transmit, communicate, transfer, transfer, conduct, transmit, carry, channel, bring, take, bring, take, transport, carry, bring, get, fetch, transmit, transfer, transport, channel, channelise, |0.0|.1|26
westernise	change, alter, modify, |0.0|.1|3
shelter	supply, provide, furnish, invest, put, commit, place, |0.0|.1|7
mask	dissemble, cloak, disguise, cover, cover, cover, |0.0|.1|6
screw	love, know, bed, bang, mate, pair, couple, rotate, rotate, tighten, cheat^, shaft, beat, crush, shell, vanquish, |0.0|.1|16
noise	sound, go, |0.0|.1|2
slight	dismiss, disregard, discount, ignore, |0.0|.1|4
esteem	respect, value, prize, prise, see, consider, reckon, view, regard, think, believe, consider, conceive, |0.0|.1|13
knuckle	press, shoot, |0.0|.1|2
jinx	glamour, enchant, charm, |0.0|.1|3
entice	lure, tempt, provoke, stimulate, |0.0|.1|4
glimmer	gleam, |0.0|.1|1
insure	see, check, ensure, control, assure*, verify, guarantee, ensure, assure*, secure, cover, underwrite, guarantee, warrant, protect, |0.0|.1|15
cast	project, throw, send, direct, give, delegate, designate, assign, hurtle, throw, delegate, designate, assign, roll, wander, swan, stray, roam, ramble, range, drift, travel, go, move, shape, form, work, forge, shed, throw, drop, remove, take, withdraw, draw, move, go, frame, put, couch, formulate, word, phrase, articulate, vomit, sick, spew, chuck, eliminate, pass, |0.0|.1|50
backfire	backlash, recoil, happen, occur, pass, resound, noise, burn, fire, |0.0|.1|9
sleepwalk	walk, |0.0|.1|1
thump	beat, pound, move, sound, go, pound, poke, hit, |0.0|.1|8
cheque	withdraw, draw, |0.0|.1|2
lever	prise, prize, jimmy, open, |0.0|.1|4
hat	wear, don, assume, supply, provide, furnish, |0.0|.1|6
implant	embed, plant, insert, enter, introduce, attach, plant, communicate, pass, |0.0|.1|9
pride	congratulate, feel, experience, |0.0|.1|3
capitalize	profit, gain, benefit*, supply, provide, furnish, write, calculate, compute, reckon, figure, see, consider, reckon, view, regard, change, exchange, commute, convert, |0.0|.1|20
risk	try, seek, attempt, essay, gamble, chance, hazard, adventure, try, seek, attempt, essay, |0.0|.1|12
monkey	manipulate, potter, tinker, work, |0.0|.1|4
parrot	repeat, echo, |0.0|.1|2
barrack	accommodate, cheer, inspire, urge, exhort, encourage*, scoff, flout, gibe, rag, bait, taunt, rally, ride, |0.0|.1|14
construe	interpret, see, understand, |0.0|.1|3
nail	attach, collar, arrest, nab, cop, seize, clutch, smash, boom, blast, hit, peg, succeed*, win*, ace, pass, locate, complete, play, |0.0|.1|19
blue	colour, color, |0.0|.1|2
coordinate	organize, organise, arrange, manage, deal, care, handle, meet, fit, align, adjust, set, correct, |0.0|.1|13
burglarise	heist, steal, |0.0|.1|2
stooge	act, play, act, behave, do, |0.0|.1|5
chrome	plate, process, treat, |0.0|.1|3
bunker	hit, fuel, transfer, shift, |0.0|.1|4
auction	sell, |0.0|.1|1
don	wear, assume, dress, |0.0|.1|3
stipulate	qualify, condition, specify, contract, undertake, guarantee, vouch, contract, undertake, |0.0|.1|9
stray	roll, wander, swan, roam, cast, ramble, range, drift, travel, go, move, drift, travel, go, move, digress, wander, tell, |0.0|.1|18
swing	move, displace, sway, travel, go, move, influence, work, sweep, wield, handle, drop, hang, aim, take, train, direct, change, live, be, play, |0.0|.1|21
garner	earn, get, acquire, store, gather, collect, |0.0|.1|6
mediate	negotiate, lie, |0.0|.1|2
raid	bust^, attack, assail, invade, assume, seize, search, |0.0|.1|7
preview	watch, view, see, catch, |0.0|.1|4
accede	submit, bow, defer, yield, succumb, enter, succeed*, follow, assent, agree, |0.0|.1|10
prearrange	arrange, set, |0.0|.1|2
dither	fret, fuss, fret, |0.0|.1|3
effuse	pour, emit, |0.0|.1|2
exile	expel, |0.0|.1|1
raffle	give, gift, present, |0.0|.1|3
mess	eat, disorder, disarray, |0.0|.1|3
predicate	relate, proclaim, assert, maintain, imply, |0.0|.1|5
mesh	engage, lock, operate, move, displace, organize, organise, coordinate, relate, tangle, |0.0|.1|10
cement	bind, coat, surface, fix, secure, |0.0|.1|5
oyster	gather, garner, collect, |0.0|.1|3
replicate	bend, flex, copy, double, repeat, double, repeat, reproduce, |0.0|.1|8
digest	process, treat, grok, savvy, dig, compass, endure, stomach, bear, stand, tolerate, support, brook, abide, suffer, permit, allow, let, change, disintegrate, concentrate, shorten, cut, contract, reduce, |0.0|.1|25
bottleneck	obstruct, blockade, block, embarrass, narrow, contract, |0.0|.1|6
blot	absorb, suck, draw, spot, |0.0|.1|4
plaster	cover, cover, coat, surface, dress, |0.0|.1|5
badge	tag, label, mark, |0.0|.1|3
manicure	cut, groom, |0.0|.1|2
randomize	|0.0|.1|0
dodge	move, move, hedge, elude, skirt, duck, avoid, |0.0|.1|7
ghost	travel, go, move, haunt, obsess, author, |0.0|.1|6
swank	flaunt, flash, expose, exhibit, display, |0.0|.1|5
bonnet	hat, |0.0|.1|1
free	release, loose, dislodge, remove, take, withdraw, exempt, relieve, release, issue, supply, absolve, justify, forgive, release, relinquish, resign^, pass, hand, reach, give, release, issue, supply, |0.0|.1|24
flatter	praise, |0.0|.1|1
wallop	whack, whop, hit, overcome, defeat, |0.0|.1|5
fantasy	imagine, envisage, |0.0|.1|2
drool	salivate, dribble, salivate, |0.0|.1|3
abate	slack, decrease^, lessen, slack, decrease^, diminish, lessen, fall, |0.0|.1|8
class	classify, sort, assort, separate, categorize, |0.0|.1|5
intermingle	blend, mix, mingle, unify, |0.0|.1|4
bloat	swell, swell, |0.0|.1|2
spade	dig, |0.0|.1|1
snow	fall, betray, |0.0|.1|2
glimpse	see, |0.0|.1|1
glow	beam, shine, look, appear, seem, burn, shine, beam, feel, experience, beam, shine, feel, experience, |0.0|.1|14
bait	rag, taunt, rally, ride, mock, entice, lure, tempt, assail, assault, attack, |0.0|.1|11
alight	light, perch, land, descend, fall, |0.0|.1|5
reorganize	reorganise, organize, organise, reorganise, regroup, form, organize, organise, |0.0|.1|8
queen	promote, promote, |0.0|.1|2
brave	weather, endure, defy, withstand, hold, |0.0|.1|5
color	colour, change, alter, modify, colour, distort, affect, impact, touch, colour, influence, work, colour, emblazon, decorate, adorn, grace*, colour, gloss, apologize, apologise, excuse, justify, rationalize, colour, change, |0.0|.1|26
radio	communicate, |0.0|.1|1
earth	hide, ground, |0.0|.1|2
